# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120928,Android 3.1,0,5,0,6,4,0,0,0
20120928,Android 3.0,0,0,0,1,0,0,0,0
20120928,Android 2.3.3 - 2.3.7,7,571,7,1319,548,2,2,0
20120928,0,0,0,0,216,0,0,0,0
20120927,Android 2.3,0,2,0,2,2,0,0,0
20120927,Android 2.2,1,108,1,299,103,0,0,0
20120927,Android 2.1,0,29,0,111,28,0,0,0
20120927,Android 4.1,2,98,1,132,93,0,0,0
20120927,Android 4.0.3 - 4.0.4,6,445,5,770,429,1,1,0
20120927,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120927,Android 3.2,0,17,0,33,12,0,0,0
20120927,Android 3.1,0,5,0,6,4,0,0,0
20120927,Android 3.0,0,0,0,1,0,0,0,0
20120927,Android 2.3.3 - 2.3.7,4,568,3,1314,545,5,3,0
20120927,0,0,0,0,212,0,0,0,0
20120926,Android 2.3,0,2,0,2,2,0,0,0
20120926,Android 2.2,1,107,1,299,102,1,0,0
20120926,Android 2.1,0,28,0,111,27,1,1,0
20120926,Android 4.1,3,99,1,131,95,0,0,0
20120926,Android 4.0.3 - 4.0.4,7,441,7,764,425,1,1,0
20120926,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120926,Android 3.2,0,17,0,33,12,0,0,0
20120926,Android 3.1,0,5,0,6,4,0,0,0
20120926,Android 3.0,0,0,0,1,0,0,0,0
20120926,Android 2.3.3 - 2.3.7,6,570,6,1313,547,3,3,1
20120926,0,0,0,0,210,0,0,0,0
20120925,Android 2.3,0,2,0,2,2,0,0,0
20120925,Android 2.2,0,106,0,299,100,2,2,0
20120925,Android 2.1,0,29,0,111,28,0,0,0
20120925,Android 4.1,1,97,0,130,93,0,0,0
20120925,Android 4.0.3 - 4.0.4,7,435,7,756,419,0,0,0
20120925,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120925,Android 3.2,0,17,0,33,12,0,0,0
20120925,Android 3.1,0,5,0,6,4,0,0,0
20120925,Android 3.0,0,0,0,1,0,0,0,0
20120925,Android 2.3.3 - 2.3.7,10,568,9,1308,545,2,2,0
20120925,0,0,0,0,209,0,0,0,0
20120924,Android 2.3,0,2,0,2,2,0,0,0
20120924,Android 2.2,1,107,1,299,101,0,0,0
20120924,Android 2.1,0,29,0,111,28,0,0,0
20120924,Android 4.1,4,97,3,129,93,0,0,0
20120924,Android 4.0.3 - 4.0.4,10,430,8,749,415,0,0,0
20120924,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120924,Android 3.2,0,17,0,33,12,0,0,0
20120924,Android 3.1,0,5,0,6,4,0,0,0
20120924,Android 3.0,0,0,0,1,0,0,0,0
20120924,Android 2.3.3 - 2.3.7,9,560,8,1300,537,0,0,0
20120924,0,0,0,0,208,0,0,0,0
20120923,Android 2.3,0,2,0,2,2,0,0,0
20120923,Android 2.2,2,107,2,299,101,2,2,0
20120923,Android 2.1,0,29,0,111,28,0,0,0
20120923,Android 4.1,2,94,1,128,91,0,0,0
20120923,Android 4.0.3 - 4.0.4,4,417,3,735,401,2,1,0
20120923,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120923,Android 3.2,0,17,0,33,12,0,0,0
20120923,Android 3.1,0,5,0,6,4,0,0,0
20120923,Android 3.0,0,0,0,1,0,0,0,0
20120923,Android 2.3.3 - 2.3.7,1,556,1,1296,533,2,2,0
20120923,0,0,0,0,207,0,0,0,0
20120922,Android 2.3,0,2,0,2,2,0,0,0
20120922,Android 2.2,0,107,0,298,101,1,1,0
20120922,Android 2.1,0,29,0,111,28,0,0,0
20120922,Android 4.1,2,92,0,126,88,0,0,0
20120922,Android 4.0.3 - 4.0.4,2,417,2,734,400,0,0,0
20120922,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120922,Android 3.2,0,17,0,33,12,0,0,0
20120922,Android 3.1,0,5,0,6,4,0,0,0
20120922,Android 3.0,0,0,0,1,0,0,0,0
20120922,Android 2.3.3 - 2.3.7,4,557,3,1296,534,2,2,0
20120922,0,0,0,0,204,0,0,0,0
20120921,Android 2.3,0,2,0,2,2,0,0,0
20120921,Android 2.2,0,109,0,298,102,0,0,0
20120921,Android 2.1,0,29,0,111,28,1,1,0
20120921,Android 4.1,1,91,0,125,88,0,0,0
20120921,Android 4.0.3 - 4.0.4,0,416,0,732,399,0,0,0
20120921,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120921,Android 3.2,0,18,0,33,13,0,0,0
20120921,Android 3.1,0,5,0,6,4,0,0,0
20120921,Android 3.0,0,0,0,1,0,0,0,0
20120921,Android 2.3.3 - 2.3.7,3,556,3,1299,533,3,2,0
20120921,0,0,0,0,199,0,0,0,0
20120920,Android 2.3,0,2,0,2,2,0,0,0
20120920,Android 2.2,1,109,1,298,102,0,0,2
20120920,Android 2.1,0,30,0,111,29,0,0,0
20120920,Android 4.1,1,91,1,125,88,0,0,0
20120920,Android 4.0.3 - 4.0.4,2,414,2,730,397,0,0,0
20120920,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120920,Android 3.2,0,18,0,33,13,0,0,0
20120920,Android 3.1,0,5,0,6,4,0,0,0
20120920,Android 3.0,0,0,0,1,0,0,0,0
20120920,Android 2.3.3 - 2.3.7,2,558,2,1300,534,3,3,0
20120920,0,0,0,0,197,0,0,0,0
20120919,Android 2.3,0,2,0,2,2,0,0,0
20120919,Android 2.2,1,108,1,298,101,0,0,0
20120919,Android 2.1,0,30,0,111,29,0,0,0
20120919,Android 4.1,2,90,1,124,87,1,1,0
20120919,Android 4.0.3 - 4.0.4,3,411,3,726,394,0,0,0
20120919,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120919,Android 3.2,0,18,0,33,13,0,0,0
20120919,Android 3.1,0,5,0,6,4,0,0,0
20120919,Android 3.0,0,0,0,1,0,0,0,0
20120919,Android 2.3.3 - 2.3.7,2,561,1,1300,537,2,2,0
20120919,0,0,0,0,196,0,0,0,0
20120918,Android 2.3,0,2,0,2,2,0,0,0
20120918,Android 2.2,1,107,1,299,100,0,0,0
20120918,Android 2.1,0,30,0,111,29,0,0,0
20120918,Android 4.1,1,90,0,123,87,0,0,0
20120918,Android 4.0.3 - 4.0.4,3,407,3,722,390,2,2,0
20120918,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120918,Android 3.2,0,19,0,33,14,1,1,0
20120918,Android 3.1,0,5,0,6,4,0,0,0
20120918,Android 3.0,0,0,0,1,0,0,0,0
20120918,Android 2.3.3 - 2.3.7,4,564,4,1301,541,3,3,0
20120918,0,0,0,0,193,0,0,0,0
20120917,Android 2.3,0,2,0,2,2,0,0,0
20120917,Android 2.2,0,106,0,299,99,0,0,0
20120917,Android 2.1,0,30,0,111,29,1,1,0
20120917,Android 4.1,2,90,0,123,87,0,0,0
20120917,Android 4.0.3 - 4.0.4,4,406,3,718,389,1,0,0
20120917,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120917,Android 3.2,0,20,0,34,15,0,0,0
20120917,Android 3.1,0,5,0,6,4,0,0,0
20120917,Android 3.0,0,0,0,1,0,0,0,0
20120917,Android 2.3.3 - 2.3.7,4,563,3,1298,540,5,5,0
20120917,0,0,0,0,191,0,0,0,0
20120916,Android 2.3,0,2,0,2,2,0,0,0
20120916,Android 2.2,0,106,0,301,99,0,0,0
20120916,Android 2.1,1,31,1,111,30,0,0,0
20120916,Android 4.1,3,88,2,121,85,1,1,0
20120916,Android 4.0.3 - 4.0.4,4,406,3,715,390,4,4,0
20120916,Android 4.0 - 4.0.2,0,0,0,11,0,0,0,0
20120916,Android 3.2,0,20,0,34,15,0,0,0
20120916,Android 3.1,0,5,0,6,4,0,0,0
20120916,Android 3.0,0,0,0,1,0,0,0,0
20120916,Android 2.3.3 - 2.3.7,2,566,2,1300,542,1,1,0
20120916,0,0,0,0,186,0,0,0,0
20120915,Android 2.3,0,2,0,2,2,0,0,0
20120915,Android 2.2,1,106,0,301,99,1,1,0
20120915,Android 2.1,0,30,0,110,29,0,0,0
20120915,Android 4.1,2,87,1,118,84,0,0,0
