# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120225,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120225,Pannon GSM,0,0,0,1,0,0,0,0
20120225,Otecel S.A. - Bellsouth,0,0,0,1,0,0,0,0
20120225,Orange Communications SA,0,2,0,2,2,0,0,0
20120225,Orange,0,3,0,4,2,0,0,0
20120225,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120225,NTT DOCOMO,0,1,0,1,1,0,0,0
20120225,Movistar,0,0,0,1,0,0,0,0
20120225,MobileOne,0,0,0,2,0,0,0,0
20120225,Mobile Telesystems,0,1,0,1,1,0,0,0
20120225,Mobifone,0,0,0,1,0,0,0,0
20120225,Megafon,0,1,0,1,1,0,0,0
20120225,M-Tel GSM BG,0,1,0,2,1,0,0,0
20120225,KT,0,1,0,1,1,0,0,0
20120225,Hutchison 3G UK Ltd.,0,0,0,2,0,0,0,0
20120225,Hutchison 3G Austria,0,0,0,5,0,0,0,0
20120225,H3G,0,2,0,2,2,0,0,0
20120225,Globul,0,1,0,1,1,0,0,0
20120225,Globe Telecom,0,1,0,1,1,0,0,0
20120225,GSM900/HKCSL,0,1,0,1,1,0,0,0
20120225,E-Plus Mobilfunk GmbH & Co. KG,0,130,0,237,123,0,0,0
20120225,Cosmote,0,0,0,2,0,0,0,0
20120225,China Mobile,0,2,0,3,2,0,0,0
20120225,CTMR Cel,0,1,0,1,1,0,0,0
20120225,Bouygues Telecom,0,1,0,1,1,0,0,0
20120225,Bell Mobility,0,0,0,1,0,0,0,0
20120225,BCP,0,0,0,1,0,0,0,0
20120225,Android Emulator,0,0,0,2,0,0,0,0
20120225,Aircel Ltd.,0,0,0,1,0,0,0,0
20120225,AT&T,0,0,0,1,0,0,0,0
20120224,unknown,0,0,0,3,0,0,0,0
20120224,o2,3,375,2,700,363,0,0,0
20120224,Xfera,0,0,0,1,0,0,0,0
20120224,Wind,1,2,1,2,2,0,0,0
20120224,Vodafone - RO,0,0,0,1,0,0,0,0
20120224,Vodafone - CH,0,1,0,13,1,0,0,0
20120224,Vodafone - AU,0,0,0,1,0,0,0,0
20120224,Vodafone - AT,0,1,0,4,1,0,0,0
20120224,Vodafone,2,147,2,243,142,2,2,1
20120224,UNKNOWN,0,178,0,372,169,0,0,1
20120224,Telstra,0,1,0,1,1,0,0,0
20120224,Telems Cel,0,0,0,1,0,0,0,0
20120224,Telekom,2,183,2,294,175,1,0,3
20120224,Telecom Italia Mobile (TIM),0,1,0,2,1,0,0,0
20120224,Tele2 Sverige AB,0,1,0,2,1,0,0,0
