# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,app_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120214,6,0,40,0,215,32,0,0,0
20120214,5,0,4,0,30,4,0,0,0
20120214,4,0,5,0,39,5,0,0,0
20120214,2,0,2,0,20,1,0,0,0
20120214,15,4,695,4,758,685,2,2,3
20120214,14,0,13,0,22,12,0,0,0
20120214,13,0,65,0,127,62,0,0,0
20120214,12,0,1,0,2,1,0,0,0
20120214,11,0,99,0,200,93,0,0,0
20120214,10,0,25,0,106,22,0,0,0
20120213,9,0,72,0,264,65,0,0,0
20120213,8,0,25,0,115,24,0,0,0
20120213,7,0,0,0,5,0,0,0,0
20120213,6,0,40,0,215,32,0,0,0
20120213,5,0,4,0,30,4,0,0,0
20120213,4,0,5,0,39,5,0,0,0
20120213,2,0,2,0,20,1,0,0,0
20120213,15,1,692,0,751,682,1,0,6
20120213,14,0,15,0,24,14,0,0,0
20120213,13,0,65,0,127,62,0,0,1
20120213,12,0,1,0,2,1,0,0,0
20120213,11,0,100,0,201,94,0,0,0
20120213,10,0,25,0,106,22,0,0,0
20120212,9,0,73,0,265,65,0,0,0
20120212,8,0,25,0,115,24,0,0,0
20120212,7,0,0,0,5,0,0,0,0
20120212,6,0,41,0,215,33,0,0,0
20120212,5,0,4,0,30,4,0,0,0
20120212,4,0,5,0,39,5,0,0,0
20120212,2,0,2,0,20,1,0,0,0
20120212,15,8,685,7,746,675,2,2,11
20120212,14,0,16,0,25,15,0,0,0
20120212,13,0,67,0,129,64,0,0,0
20120212,12,0,1,0,2,1,0,0,0
20120212,11,0,101,0,202,95,0,0,0
20120212,10,0,25,0,106,22,0,0,0
20120211,9,1,74,1,266,66,0,0,0
20120211,8,0,25,0,115,24,0,0,0
20120211,7,0,0,0,5,0,0,0,0
20120211,6,0,42,0,217,34,0,0,0
20120211,5,0,4,0,30,4,0,0,0
20120211,4,0,5,0,39,5,0,0,0
20120211,2,0,2,0,20,1,0,0,0
20120211,15,10,671,6,729,660,2,2,11
20120211,14,0,17,0,26,16,0,0,0
20120211,13,0,69,0,131,66,0,0,0
