# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120413,Android 2.1,0,40,0,109,39,0,0,0
20120413,Android 4.0.3 - 4.0.4,2,115,0,172,108,1,1,0
20120413,Android 4.0 - 4.0.2,0,16,0,27,13,0,0,0
20120413,Android 3.2,0,25,0,39,18,0,0,0
20120413,Android 3.1,0,6,0,11,4,0,0,0
20120413,Android 3.0,0,1,0,2,1,0,0,0
20120413,Android 2.3.3+,5,741,5,1413,717,5,5,1
20120413,0,0,0,0,3,0,0,0,0
20120412,Android 2.3,0,1,0,1,1,0,0,0
20120412,Android 2.2,1,127,0,320,115,0,0,0
20120412,Android 2.1,0,41,0,109,40,0,0,0
20120412,Android 4.0.3 - 4.0.4,5,114,0,168,107,0,0,0
20120412,Android 4.0 - 4.0.2,0,17,0,27,14,0,0,0
20120412,Android 3.2,0,25,0,39,18,0,0,0
20120412,Android 3.1,0,6,0,11,4,0,0,0
20120412,Android 3.0,0,1,0,2,1,0,0,0
20120412,Android 2.3.3+,6,742,3,1412,719,4,4,1
20120412,0,0,0,0,3,0,0,0,0
20120411,Android 2.3,0,1,0,1,1,0,0,0
20120411,Android 2.2,0,125,0,320,113,1,1,0
20120411,Android 2.1,0,41,0,109,40,1,1,0
20120411,Android 4.0.3 - 4.0.4,1,111,0,163,105,0,0,0
20120411,Android 4.0 - 4.0.2,1,17,1,27,14,0,0,0
20120411,Android 3.2,0,25,0,39,18,0,0,0
20120411,Android 3.1,0,6,0,11,4,0,0,0
20120411,Android 3.0,0,1,0,2,1,0,0,0
20120411,Android 2.3.3+,4,743,3,1414,720,3,2,0
20120411,0,0,0,0,3,0,0,0,0
20120410,Android 2.3,0,1,0,1,1,0,0,0
20120410,Android 2.2,0,127,0,321,115,0,0,0
20120410,Android 2.1,0,42,0,109,41,0,0,0
20120410,Android 4.0.3 - 4.0.4,2,109,0,162,104,1,1,0
20120410,Android 4.0 - 4.0.2,1,16,0,26,13,0,0,0
20120410,Android 3.2,0,25,0,39,18,0,0,0
20120410,Android 3.1,0,6,0,11,4,0,0,0
20120410,Android 3.0,0,1,0,2,1,0,0,0
20120410,Android 2.3.3+,1,743,1,1411,719,7,6,1
20120410,0,0,0,0,3,0,0,0,0
20120409,Android 2.3,0,1,0,1,1,0,0,0
20120409,Android 2.2,0,127,0,321,115,0,0,0
20120409,Android 2.1,0,42,0,109,41,0,0,0
20120409,Android 4.0.3 - 4.0.4,1,104,0,155,101,0,0,0
20120409,Android 4.0 - 4.0.2,1,15,1,26,12,0,0,0
20120409,Android 3.2,0,25,0,39,18,0,0,0
20120409,Android 3.1,0,6,0,11,4,0,0,0
20120409,Android 3.0,0,1,0,2,1,0,0,0
20120409,Android 2.3.3+,4,754,2,1417,730,4,4,1
20120409,0,0,0,0,3,0,0,0,0
20120408,Android 2.3,0,1,0,1,1,0,0,0
