# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120331
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120330,victor,0,2,0,2,2,0,0,0
20120330,v350,0,0,0,1,0,0,0,0
20120330,unknown,0,0,0,3,0,0,0,0
20120330,univa_open-de,0,2,0,2,2,0,0,0
20120330,univa_222-01,0,1,0,1,1,0,0,0
20120330,umts_spyder,0,4,0,5,4,0,0,0
20120330,Motorola Droid,0,2,0,17,2,1,1,0
20120330,Motorola Flipout,0,2,0,5,2,0,0,0
20120330,Motorola Milestone2,0,2,0,4,2,0,0,0
20120330,Motorola Defy,0,42,0,72,39,0,0,1
20120330,Motorola XOOM,0,1,0,3,1,0,0,0
20120330,u8800,0,2,0,2,2,0,0,0
20120330,u8220,0,0,0,1,0,0,0,0
20120330,Toshiba AT100,0,1,0,1,1,0,0,0
20120330,LG Optimus One,0,6,0,14,6,0,0,0
20120330,tenderloin,0,5,0,7,4,0,0,0
20120330,LG Swift,0,2,0,4,2,0,0,0
20120330,LG Optimus 2X,0,1,0,1,1,0,0,0
20120330,Dell Streak 7,0,0,0,1,0,0,0,0
20120330,Dell Streak,0,0,0,2,0,0,0,0
20120330,Pantech Izar,0,0,0,1,0,0,0,0
20120330,skate,0,0,0,1,0,0,0,0
20120330,HTC Shooter,0,4,0,4,4,0,0,0
20120330,HTC myTouch 3G,0,3,0,3,2,0,0,0
20120330,HTC Desire S,0,63,0,93,63,0,0,0
20120330,HTC Sensation XL,0,2,0,2,2,0,0,0
20120330,rk29sdk,0,1,0,1,1,0,0,0
20120330,HTC Sensation 4G,2,54,1,89,52,0,0,0
20120330,Acer Picasso,0,6,0,7,3,0,0,0
20120330,LG Pecan,0,1,0,4,1,0,0,0
20120330,HTC Nexus One,0,11,0,28,9,0,0,0
20120330,p990_EUR-xx,0,1,0,2,1,0,0,0
20120330,p990_262-xx,0,0,0,2,0,0,0,0
20120330,p990_262-02,0,2,0,2,2,0,0,0
20120330,LG Optimus 2X,0,14,0,25,13,0,0,1
20120330,p920,0,1,0,2,1,0,0,0
20120330,p5,0,1,0,1,1,0,0,0
20120330,Samsung Galaxy Tab 10.1,0,1,0,1,1,0,0,0
20120330,Motorola Atrix,0,1,0,1,1,0,0,0
20120330,Sony Tablet S,0,2,0,5,2,0,0,0
20120330,msm7627_ffa,0,0,0,1,0,0,0,0
20120330,msm7230,0,2,0,2,2,0,0,0
20120330,msm7201a,0,1,0,1,1,0,0,0
20120330,morr,0,0,0,1,0,0,0,0
20120330,ZTE Racer,0,0,0,1,0,0,0,0
20120330,mione_plus,0,1,0,1,1,0,0,0
20120330,mercury,0,0,0,1,0,0,0,0
20120330,HTC Wildfire S,0,24,0,51,24,0,0,0
20120330,Samsung Galaxy Nexus,0,24,0,33,21,0,0,0
20120330,m801,0,2,0,3,2,0,0,0
20120330,Acer Liquid,0,0,0,1,0,0,0,0
20120330,HTC Aria,0,0,0,3,0,0,0,0
20120330,LG Optimus Black,0,9,0,12,9,0,0,0
20120330,leo,0,3,0,6,2,0,0,0
20120330,HTC Legend,0,5,0,11,5,0,0,0
20120330,laptop,0,0,0,1,0,0,0,0
20120330,Motorola Defy,0,1,0,4,1,0,0,0
20120330,Huawei U8510,0,11,0,19,11,0,0,0
20120330,Huawei V858,0,1,0,1,1,0,0,0
20120330,hws7300u,0,0,0,1,0,0,0,0
20120330,HTC Hero ,0,3,0,7,3,0,0,0
20120330,harmony,0,0,0,1,0,0,0,0
20120330,gelato_262-xx,0,1,0,1,1,0,0,0
20120330,galaxysmtd,0,1,0,12,1,0,0,0
20120330,galaxys2,0,8,0,14,8,0,0,0
20120330,HTC Flyer,0,2,0,3,1,0,0,0
20120330,e1000_gq1a,0,0,0,1,0,0,0,0
20120330,e0_open_eur,0,0,0,1,0,0,0,0
20120330,HTC G1 ,0,0,0,1,0,0,0,0
20120330,disco10,0,0,0,1,0,0,0,0
20120330,Samsung Nexus S,0,26,0,44,25,0,0,0
20120330,crane-m802h6,0,0,0,1,0,0,0,0
20120330,cooper,0,0,0,1,0,0,0,0
20120330,choi,0,1,0,1,1,0,0,0
20120330,HTC Chacha,0,1,0,2,1,0,0,0
20120330,HTC Wildfire,0,17,0,33,14,0,0,0
20120330,HTC Desire,0,57,0,148,48,0,0,0
20120330,bproj_262-XXX,0,0,0,3,0,0,0,0
20120330,bproj_262-02,0,0,0,1,0,0,0,0
20120330,ZTE Blade,0,6,0,15,6,0,0,0
20120330,HTC Tattoo,0,0,0,1,0,0,0,0
20120330,aries,0,0,0,2,0,0,0,0
20120330,HTC Desire HD,0,59,0,118,59,0,0,0
20120330,Garmin-Asus Nuvifone,0,0,0,1,0,0,0,0
20120330,Acer Liquid,0,1,0,2,1,0,0,0
20120330,Samsung Galaxy Player,0,0,0,1,0,0,0,0
20120330,XT502,0,0,0,1,0,0,0,0
20120330,SEMC Xperia X10,0,10,0,21,10,0,0,0
