# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120705,de,0,0,0,2,0,0,0,0
20120705,da_DK,0,1,0,1,1,0,0,0
20120704,zh_TW,0,2,0,2,2,0,0,0
20120704,zh_CN,0,6,0,14,6,0,0,0
20120704,unknown,0,0,0,59,0,0,0,0
20120704,tr_TR,0,1,0,2,1,0,0,0
20120704,tr_DE,0,1,0,1,1,0,0,0
20120704,sv_SE,0,3,0,5,3,0,0,0
20120704,sl_SI,0,0,0,2,0,0,0,0
20120704,ru_UA,0,0,0,1,0,0,0,0
20120704,ru_RU,0,4,0,9,4,0,0,0
20120704,ru_DE,0,1,0,1,1,0,0,0
20120704,pt_PT,0,2,0,4,2,0,0,0
20120704,pt_BR,0,6,0,7,6,0,0,0
20120704,pl_PL,0,1,0,4,1,0,0,0
20120704,no_NO,0,0,0,1,0,0,0,0
20120704,nb_NO,0,0,0,2,0,0,0,0
20120704,ld_US,0,1,0,1,1,0,0,0
20120704,ko_KR,0,2,0,5,2,0,0,0
20120704,ja_JP,0,1,0,2,1,0,0,0
20120704,it_IT,0,2,0,4,2,0,0,0
20120704,it_DE,0,0,0,2,0,0,0,0
20120704,hu_HU,0,3,0,2,2,0,0,0
20120704,fr_IT,0,1,0,1,1,0,0,0
20120704,fr_FR,0,2,0,5,2,0,0,0
20120704,es_US,1,2,0,2,1,0,0,0
20120704,es_MX,0,0,0,1,0,0,0,0
20120704,es_IE,0,0,0,1,0,0,0,0
20120704,es_ES,0,6,0,14,6,0,0,0
20120704,es_DE,0,2,0,2,2,0,0,0
20120704,en_US,1,76,1,139,72,0,0,0
20120704,en_SG,0,0,0,1,0,0,0,0
20120704,en_RU,0,0,0,1,0,0,0,0
20120704,en_RO,0,1,0,2,1,0,0,0
20120704,en_NZ,0,0,0,1,0,0,0,0
20120704,en_IN,0,2,0,8,2,0,0,0
20120704,en_IE,0,2,0,3,2,0,0,0
20120704,en_HK,0,1,0,2,1,0,0,0
20120704,en_GB,0,23,0,62,22,0,0,0
20120704,en_FR,0,0,0,1,0,0,0,0
20120704,en_ES,0,0,0,1,0,0,0,0
20120704,en_DK,0,0,0,1,0,0,0,0
20120704,en_DE,0,15,0,34,14,0,0,0
20120704,en_CA,0,1,0,3,1,0,0,0
20120704,en_AU,0,3,0,4,3,0,0,0
